white;black;event;year;heatmap
Kasparov, Gary;Van Wely, Loek;Hoogovens 5';1999;0.22,-0.01,0.05,0.36,0.82,0.44,0.15,0.41,0.13,0.02,0.08,0.01,0.25,0.66,0.22,0.1,0.0,0.07,0.04,0.16,0.11,0.05,0.17,0.03,0.03,0.0,0.08,0.03,-0.02,0.31,-0.01,0.15,-0.15,0.0,-0.1,-0.03,-0.04,-0.11,-0.01,0.0,0.0,-0.09,-0.14,-0.12,-0.03,-0.16,-0.06,-0.09,-0.13,-0.16,-0.02,-0.07,-0.03,-0.16,-1.0,-0.27,-0.31,-0.16,-0.06,-0.33,-0.52,-0.46,-0.09,-0.4
Grandelius,N;Donchenko,Alexa;83rd Tata Steel Masters;2021;0.46,0.1,0.19,0.56,0.62,0.11,1.0,0.09,0.07,0.17,0.04,-0.04,0.0,0.15,0.28,0.25,0.0,0.06,0.27,0.0,0.02,0.29,0.19,0.21,0.12,0.15,-0.01,0.08,-0.02,0.06,0.03,0.13,-0.04,0.0,0.12,-0.18,-0.2,-0.14,0.02,-0.03,-0.22,0.0,-0.33,-0.07,-0.31,-0.39,0.0,-0.18,-0.2,-0.31,-0.07,-0.05,-0.01,-0.18,-0.22,-0.08,-0.53,-0.03,-0.17,-0.56,-0.38,-0.17,-0.46,-0.16
Byrne, Donald;Fischer, Robert James;New York Rosenwald;1956;0.17,0.07,0.12,0.48,0.57,0.36,0.24,0.54,-0.12,0.08,0.0,0.02,0.01,0.12,0.27,0.43,0.32,-0.02,0.02,0.0,0.0,0.42,-0.04,0.05,-0.05,-0.03,-0.01,0.1,-0.06,0.08,-0.09,0.06,0.0,-0.06,0.05,-0.11,0.11,0.0,0.04,-0.06,0.0,0.05,-0.23,0.0,-0.01,-0.16,-0.26,0.0,-0.15,-0.21,-0.05,-0.05,-0.06,-0.27,-0.6,-0.22,-0.47,0.16,-0.13,-0.29,-0.37,-0.36,-1.0,-0.08
Gurevich, Mikhail;Kasparov, Gary;URS-ch55;1988;0.33,0.06,0.21,0.7,0.62,0.52,0.47,0.75,0.2,-0.12,0.02,0.0,0.12,0.21,0.23,0.24,0.09,0.04,0.16,0.12,0.0,0.44,0.01,-0.02,0.0,0.0,0.55,0.07,0.09,-0.01,0.0,0.05,0.0,0.03,-0.22,0.16,-0.04,-0.12,-0.04,-0.18,-0.13,0.0,0.0,-0.11,-0.01,-0.21,-0.27,0.0,-0.29,-0.13,-0.07,-0.04,-0.08,-0.29,-0.42,-0.29,-0.59,-0.15,-0.21,-0.71,-0.39,-0.19,-1.0,-0.16
Kasparov, Gary;Vazquez, Fermin;Galicia simul;1991;0.27,0.16,0.11,0.39,0.61,0.17,1.0,0.16,0.15,0.23,0.03,0.08,0.27,0.15,0.12,0.11,0.0,0.1,0.09,0.12,0.02,0.12,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,-0.01,-0.08,-0.02,0.09,0.04,0.0,-0.05,0.0,-0.14,0.01,0.02,0.01,-0.14,0.0,-0.02,-0.15,-0.13,-0.13,-0.04,-0.11,-0.06,-0.15,-0.13,-0.36,-0.1,-0.32,-0.5,-0.62,-0.3,-0.41,-0.72
Speelman, Jonathan S;Polgar, Judit;Roquebrune rapid;1992;0.41,0.04,0.21,0.44,0.44,0.16,0.88,0.14,0.08,0.12,0.01,-0.0,0.07,0.23,0.49,0.38,0.0,-0.0,0.15,-0.13,0.02,0.36,0.64,0.0,0.08,-0.02,0.05,0.05,0.0,0.01,0.03,0.02,0.03,-0.1,-0.02,-0.04,0.06,-0.02,-0.07,0.08,-0.01,-0.08,0.22,-0.07,-0.09,-0.25,-0.23,-0.14,-0.04,0.12,-0.17,-0.17,-0.01,-0.19,-0.59,0.0,-0.41,-0.13,-0.4,-0.62,-0.21,-0.61,-1.0,-0.07
Penrose, Jonathan;Panno, Oscar;Mar del Plata;1962;0.39,0.15,0.09,0.37,0.24,0.51,0.53,1.0,0.04,-0.07,0.3,-0.01,0.13,0.12,0.87,0.22,0.04,0.08,0.23,0.03,-0.1,0.1,0.06,-0.07,-0.03,-0.04,0.3,-0.11,0.14,-0.1,-0.15,-0.0,-0.0,0.02,-0.14,0.11,-0.16,-0.0,0.01,-0.1,-0.04,-0.02,-0.13,-0.2,0.0,-0.37,-0.02,-0.02,-0.47,-0.04,-0.14,-0.16,-0.75,-0.08,-0.12,-0.06,-0.35,-0.45,-0.25,-0.45,-0.33,-0.37,-0.27,-0.17
Polgar,Ju;Grischuk,A;FIDE GP;2002;0.54,0.14,0.33,0.62,0.16,0.82,1.0,0.08,0.24,0.29,0.01,0.07,0.02,0.3,0.29,0.08,0.0,0.32,-0.02,0.48,0.11,0.64,0.0,0.23,0.3,0.0,0.31,-0.37,0.36,0.05,0.44,0.28,0.02,0.01,-0.4,-0.12,-0.04,-0.03,0.21,-0.01,0.0,-0.23,-0.88,-0.5,-0.47,0.08,-0.14,-0.18,-0.46,-0.16,-0.5,-0.44,-0.13,-0.08,-0.14,-0.07,-0.58,-0.06,-0.16,-0.54,-0.8,-0.62,-0.34,-0.43
Kasparov,G;Drugda,Branislav;ChessFriends Simul;2011;0.39,0.05,0.02,0.28,0.3,0.2,1.0,0.13,0.04,0.11,0.01,0.0,0.04,0.11,0.11,0.11,0.0,0.13,0.19,0.14,0.1,0.0,0.03,0.0,0.01,-0.04,0.03,0.11,-0.04,0.12,-0.11,0.0,0.13,-0.0,0.08,-0.11,0.03,-0.06,0.0,-0.01,0.01,-0.05,-0.07,0.04,-0.07,-0.19,-0.04,-0.09,-0.01,-0.04,0.11,-0.18,-0.08,-0.08,-0.11,-0.26,-0.38,-0.06,-0.21,-0.32,-0.48,-0.13,-0.71,-0.14
Polgar, Judit;Sutovskij, Emil;VAM;1997;0.27,0.04,0.05,0.63,0.48,0.44,0.79,0.21,0.11,0.05,0.05,0.26,0.07,0.21,0.11,0.11,0.0,0.05,0.09,0.02,0.01,0.1,0.04,0.0,0.0,0.01,0.0,0.03,0.11,0.04,-0.05,0.01,0.04,-0.06,-0.01,0.0,-0.24,0.0,0.01,-0.08,-0.05,0.0,-0.02,-0.11,-0.06,-0.05,-0.03,-0.01,-0.02,-0.05,-0.0,-0.23,-0.29,-0.11,-0.12,-0.02,-0.23,-0.12,-0.28,-0.65,-1.0,-0.08,0.02,-0.47
Reshevsky, Samuel Herman;Fischer, Robert James;New York/Los Angeles m;1961;0.06,0.02,0.41,0.42,0.76,0.17,0.56,0.14,0.04,0.21,0.18,0.04,0.69,0.54,0.85,0.07,-0.02,0.0,0.19,0.35,0.04,0.13,-0.01,0.0,0.03,0.02,-0.05,-0.03,-0.14,-0.19,-0.01,0.12,0.02,0.02,-0.07,-0.08,-0.07,-0.39,0.1,0.0,0.12,0.03,-0.1,-0.08,-0.25,-0.84,-0.12,-0.05,-0.12,-0.16,0.01,-0.01,-0.11,-0.24,-0.06,-0.14,-0.24,-0.02,-0.26,-0.72,-0.76,-0.12,-1.0,-0.15
Karpov, Anatoly;Kasparov, Gary;World Championship 33th-KK3;1986;0.19,0.04,0.5,0.63,0.94,0.72,0.5,0.31,0.16,0.15,0.01,-0.03,0.12,0.16,0.16,0.11,0.0,0.0,0.28,0.0,0.1,0.22,0.0,0.05,0.18,0.0,0.07,0.04,0.0,0.22,0.0,0.0,-0.12,0.06,-0.22,-0.03,0.02,0.0,0.0,0.0,-0.04,0.0,-0.15,0.0,-0.06,-0.3,-0.14,-0.04,-0.12,-0.16,-0.04,-0.11,-0.16,-0.16,-0.27,-0.11,-0.39,-0.13,-0.31,-0.51,-0.9,-0.18,-1.0,-0.3
Panno, Oscar;Najdorf, Miguel;Piatigorsky Cup;1963;0.3,0.05,0.2,0.57,0.55,0.12,1.0,0.17,0.11,0.41,0.01,0.16,0.22,0.25,0.2,0.25,0.19,0.04,0.2,0.0,0.01,0.18,0.05,0.0,0.12,0.08,0.11,0.24,-0.24,0.0,0.0,0.0,-0.24,0.19,-0.02,-0.16,0.21,0.0,0.0,0.0,-0.08,-0.18,-0.18,0.0,-0.24,-0.37,-0.07,0.0,-0.12,-0.37,-0.18,0.03,-0.12,-0.3,-0.25,-0.25,-0.26,-0.08,-0.31,-0.47,-0.49,-0.37,-0.7,-0.2
Najdorf, Miguel;Fischer, Robert James;Buenos Aires;1970;0.29,0.03,0.13,0.57,0.65,0.35,0.62,0.15,0.05,0.18,0.04,0.23,0.14,0.13,0.17,0.18,0.13,-0.01,0.08,0.1,0.13,0.14,0.0,0.0,-0.04,0.0,-0.08,-0.0,0.09,0.15,0.01,0.0,-0.02,-0.11,-0.06,-0.13,0.07,-0.0,0.03,0.0,-0.08,0.0,-0.18,0.0,-0.11,-0.02,-0.11,0.08,-0.04,-0.13,-0.02,-0.22,-0.1,-0.35,-0.07,-0.18,-0.3,-0.05,-0.23,-0.48,-0.4,-0.16,-1.0,-0.18
Kortschnoj, Viktor;Kasparov, Gary;Horgen CS;1994;0.63,0.06,0.32,0.74,1.0,0.36,0.43,0.44,0.06,0.16,0.02,0.04,0.22,0.16,0.16,0.16,0.09,0.0,0.23,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.12,0.33,0.02,0.0,0.0,0.0,0.0,0.0,-0.02,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.0,-0.09,-0.26,0.0,0.0,-0.16,-0.16,-0.02,-0.09,-0.23,-0.16,-0.16,-0.16,-0.63,-0.07,-0.26,-0.95,-0.74,-0.44,-0.71,-0.33
Kasparov, Gary;Moreira, Jairo;Cordoba simul;1992;0.44,0.17,0.37,0.56,0.46,0.07,1.0,0.11,0.23,0.23,0.29,0.06,0.0,0.23,0.23,0.17,0.0,0.03,0.31,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,-0.1,0.28,0.0,0.0,0.06,0.0,0.02,-0.06,-0.03,-0.02,-0.18,0.08,0.0,0.0,-0.33,-0.11,-0.02,0.05,0.0,-0.23,-0.25,-0.23,-0.03,-0.01,-0.1,-0.05,-0.12,-0.41,-0.23,-0.47,-0.03,-0.22,-0.62,-0.56,-0.11,-0.69,-0.25
Polgar,Ju;Magem Badals,J;It;1999;0.09,1.0,0.19,0.34,0.43,0.07,0.08,0.29,0.12,0.07,0.14,0.16,0.37,-0.01,0.0,0.03,0.0,0.11,0.07,0.25,0.0,0.03,0.04,0.07,0.0,0.05,0.05,0.08,-0.05,0.0,-0.05,0.01,-0.21,0.03,0.0,-0.09,0.0,-0.14,-0.08,0.03,0.0,-0.03,-0.12,-0.02,-0.04,-0.22,-0.02,-0.12,-0.11,-0.01,-0.01,-0.11,-0.04,-0.05,-0.13,-0.37,-0.26,-0.12,-0.09,-0.25,-0.43,-0.21,-0.3,-0.49
Short,N;Kasparov,G;Legends Blitz Match 2015;2015;0.42,0.14,0.01,0.56,0.45,0.34,1.0,0.13,0.17,0.21,0.04,0.17,0.4,0.17,-0.02,0.08,0.0,0.17,0.01,0.07,0.14,0.03,0.15,0.01,0.01,0.0,0.13,0.04,-0.02,-0.03,-0.09,0.03,0.0,0.0,-0.13,-0.02,0.02,0.0,0.0,-0.09,0.0,0.0,-0.14,0.0,-0.28,-0.19,-0.16,0.0,-0.17,-0.05,-0.02,-0.21,-0.17,-0.13,-0.87,-0.07,-0.25,-0.06,-0.07,-0.5,-0.24,-0.29,-0.57,-0.25
Kasparov, Gary;Spassky, Boris V;World Cup;1989;0.41,0.02,0.04,0.3,0.85,0.31,0.16,0.57,0.06,0.05,0.13,0.35,0.13,0.06,0.07,0.05,0.0,0.11,1.0,0.19,0.14,0.18,0.06,0.16,0.15,0.0,0.02,0.16,0.14,0.06,0.03,-0.09,-0.01,-0.01,0.0,-0.08,-0.01,0.0,0.12,-0.07,-0.01,-0.15,-0.09,-0.12,-0.08,-0.1,-0.14,-0.27,-0.06,-0.14,-0.09,-0.17,-0.44,-0.19,-0.74,-0.04,-0.42,-0.06,-0.29,-0.42,-0.76,-0.32,-0.09,-0.42
Panno,O;Spangenberg,H;ch-ARG Najdorf mem;1999;0.67,0.23,0.31,0.63,0.61,0.19,0.9,0.27,0.17,0.13,0.69,0.18,0.13,0.17,0.28,0.17,0.0,0.06,0.0,0.0,0.0,0.32,0.14,0.0,0.0,0.0,0.15,0.09,0.01,0.0,0.0,0.0,0.0,0.0,-0.03,-0.14,0.0,0.0,0.0,0.0,-0.11,-0.08,-0.09,0.0,-0.12,-0.26,0.0,0.0,-0.17,-0.09,-0.05,-0.15,-0.23,-0.17,-0.17,-0.17,-0.49,-0.2,-0.4,-1.0,-0.69,-0.47,-0.91,-0.3
Panno, Oscar;Ginzburg, Maximiliano;ARG-ch;1996;0.47,0.26,0.15,0.63,0.24,0.42,0.88,0.67,0.09,0.1,0.09,0.19,0.37,0.3,0.44,0.87,0.3,0.25,0.32,0.17,0.14,0.34,0.42,0.13,0.0,0.22,0.36,-0.2,0.23,0.01,-0.09,-0.01,0.0,-0.01,-0.09,0.28,-0.18,-0.17,-0.37,-0.12,-0.01,0.0,-0.05,-0.05,-0.1,-0.39,0.0,-0.3,-0.39,-0.34,-0.31,-0.42,-0.01,-0.22,-0.77,-0.08,-0.57,-0.15,-0.3,-0.73,-0.67,-0.87,-1.0,-0.51
Bychenkova,Angelina;Kasparov,Georgy;Kislovodsk Open 2013;2013;0.11,0.62,0.53,0.64,0.25,0.05,0.01,0.48,0.05,0.05,0.11,0.14,0.1,0.05,0.08,0.18,0.01,0.22,0.14,0.0,0.1,0.13,0.0,0.0,0.16,0.24,-0.1,0.11,0.0,0.27,0.01,0.01,-0.13,0.01,0.0,-0.11,0.02,-0.24,0.0,0.02,-0.37,-0.28,-0.14,-0.03,-0.09,-0.1,-0.03,-0.02,-0.04,-0.11,-0.07,-0.2,-0.06,0.13,-0.1,-0.08,-0.12,-0.02,-1.0,-0.47,-0.23,-0.11,-0.03,-0.55
Rubinetti, Jorge A;Panno, Oscar;Santos Lugares;1977;0.24,0.07,0.11,0.78,0.2,0.31,0.25,1.0,0.14,0.22,0.24,0.56,0.05,0.22,0.26,0.25,0.08,0.02,0.22,0.07,0.35,0.14,0.2,0.02,0.05,-0.04,0.18,0.12,-0.08,-0.01,-0.02,0.02,0.0,0.12,-0.06,0.0,0.03,-0.16,-0.1,-0.05,-0.1,-0.34,-0.17,-0.07,-0.22,-0.21,-0.44,-0.1,-0.02,-0.24,-0.31,-0.14,-0.07,-0.22,-0.25,-0.24,-0.22,-0.25,-0.3,-0.31,-0.56,-0.38,-0.52,-0.13
Kasparov, Gary;Anand, Viswanathan;PCA-World Championship;1995;0.25,0.18,0.12,0.27,0.84,0.12,0.02,0.3,0.12,0.04,0.04,0.01,0.37,0.12,0.12,0.12,0.14,0.07,0.06,0.19,0.0,0.02,0.0,0.0,0.0,0.0,0.15,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.03,0.0,-0.07,0.0,-0.05,0.0,0.07,0.06,0.0,-0.03,0.0,0.0,-0.12,-0.03,-0.12,-0.17,-0.21,-0.12,-0.07,-0.12,-0.31,-0.02,-0.55,-0.29,-1.0,-0.12,-0.04,-0.33
Haik, Aldo;Kasparov, Gary;Evry sim;1989;0.61,0.03,0.15,0.6,0.28,0.57,0.67,0.17,0.14,0.13,0.17,0.31,0.32,0.12,0.19,0.29,0.0,0.09,0.27,0.23,-0.03,0.12,0.11,0.16,0.01,0.0,0.02,0.09,0.2,-0.04,0.0,0.01,-0.09,0.0,-0.29,0.17,-0.12,0.0,-0.09,-0.12,-0.07,0.0,0.0,-0.15,-0.01,-0.25,-0.08,-0.15,-0.14,-0.23,-0.04,-0.26,-0.05,-0.23,-0.23,-0.08,-0.68,-0.13,-0.33,-0.59,-0.51,-0.14,-1.0,-0.11
Kasparov, Gary;Anand, Viswanathan;Dortmund;1992;0.69,0.09,0.41,0.89,0.78,0.28,0.86,0.3,0.12,0.14,0.01,0.02,0.56,0.1,0.14,0.14,0.0,0.0,0.24,0.0,0.07,0.26,0.0,0.0,0.1,-0.17,0.26,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,0.05,-0.25,0.0,0.0,0.0,0.0,-0.12,0.0,-0.09,-0.24,-0.05,0.0,-0.14,-0.14,-0.09,-0.42,-0.05,-0.13,-0.14,-0.14,-0.69,-0.22,-0.12,-0.8,-1.0,-0.33,-0.88,-0.33
Ivanchuk,V;Kasparov,G;RUS vs. ROW;2002;0.16,0.52,0.53,0.55,0.36,0.25,0.3,0.11,0.05,0.08,0.11,0.17,0.0,0.02,0.02,0.04,-0.03,0.03,0.12,0.0,0.09,0.08,0.0,-0.07,0.15,-0.06,0.15,-0.01,0.1,0.01,0.05,-0.01,0.0,0.05,-0.05,-0.0,-0.09,0.02,0.05,-0.01,-0.04,0.0,0.02,-0.12,-0.12,-0.08,-0.07,0.0,-0.01,-0.0,-0.0,-0.18,-0.27,-0.09,-0.06,0.01,-0.44,-0.08,-0.11,-0.59,-1.0,-0.18,-0.03,-0.36
Mokry, Karel;Polgar, Judit;Brno Morava-A;1991;0.3,0.06,0.97,0.62,0.66,0.08,0.02,0.68,0.05,0.07,0.14,0.01,0.6,0.17,0.04,0.11,0.0,0.19,0.1,0.25,0.07,0.02,0.0,0.0,-0.01,-0.09,0.0,0.15,0.1,0.19,0.19,0.03,-0.3,-0.0,-0.01,-0.02,0.07,0.0,0.06,0.0,-0.11,-0.15,-0.2,-0.01,-0.07,-0.2,0.0,-0.04,-0.03,-0.31,-0.34,-0.29,-0.02,-0.14,-0.14,-0.04,-0.68,-0.13,-0.26,-0.33,-1.0,-0.37,-0.05,-0.68
Polgar,Ju;Lautier,J;It;2003;0.3,0.02,0.07,0.35,0.75,0.4,0.02,0.21,0.09,0.09,0.03,-0.01,0.06,0.09,0.15,0.0,0.14,0.0,0.03,-0.1,-0.0,0.01,0.02,-0.11,0.0,0.09,0.0,0.01,-0.01,0.0,0.03,0.0,-0.04,-0.01,-0.0,-0.08,-0.03,-0.02,-0.1,0.04,0.0,0.0,-0.09,-0.07,-0.01,-0.02,0.0,-0.04,-0.02,0.12,-0.02,-0.03,-0.11,-0.09,-0.02,-0.09,-0.15,-0.01,-0.24,-0.36,-1.0,-0.07,-0.03,-0.11
Caruana,F;Anton Guijarro,D;83rd Tata Steel Masters;2021;0.29,0.03,0.37,0.47,0.41,0.44,1.0,0.12,0.09,0.12,0.03,0.18,0.26,0.14,0.1,0.14,-0.01,0.19,0.06,0.0,0.0,0.16,0.13,0.0,0.02,0.0,0.18,-0.07,0.14,0.02,0.0,-0.03,0.01,0.01,-0.09,-0.0,0.02,-0.14,0.01,0.0,0.0,-0.11,0.0,0.02,-0.15,-0.31,-0.16,-0.12,-0.14,-0.14,-0.3,-0.21,-0.02,-0.14,-0.8,-0.08,-0.38,-0.12,-0.19,-0.28,-0.34,-0.33,-0.07,-0.43
Comas Fabrego, Luis;Panno, Oscar;GMA Baleares Open;1989;0.45,0.1,0.04,0.33,0.55,0.21,0.55,0.24,0.04,0.05,0.01,0.47,0.12,0.09,0.09,0.09,0.05,0.0,0.2,0.0,0.01,0.06,0.08,0.0,0.0,-0.05,0.05,0.07,0.03,0.0,0.0,0.0,-0.28,0.0,-0.04,0.01,0.0,-0.02,0.01,-0.0,-0.06,0.0,0.0,-0.03,-0.12,-0.16,0.0,-0.04,-0.03,-0.06,-0.3,-0.06,-0.17,-0.09,-0.03,-0.01,-0.4,-0.13,-0.21,-0.24,-1.0,-0.03,-0.01,-0.45
Polgar,Ju;Svidler,P;World Blitz;2006;0.39,0.03,0.12,0.22,0.37,0.25,1.0,0.12,0.04,0.05,0.24,0.03,0.06,0.11,0.11,0.14,0.03,0.0,0.04,0.06,0.0,0.05,0.0,0.0,0.0,-0.04,0.02,0.05,0.05,0.0,0.0,0.02,-0.01,0.02,0.01,-0.23,-0.01,-0.02,0.0,0.0,0.01,0.0,-0.17,-0.05,-0.08,-0.02,-0.05,0.0,-0.07,-0.05,-0.0,-0.4,-0.05,-0.09,-0.11,-0.11,-0.26,-0.08,-0.14,-0.41,-0.81,-0.04,-0.03,-0.32
Kramnik, Vladimir;Kasparov, Gary;Kosmos m 5';1998;0.84,0.37,0.34,0.51,0.44,0.61,1.0,0.27,0.13,0.27,0.03,0.05,0.78,0.29,0.29,0.29,0.14,0.08,0.0,0.27,0.24,0.56,0.0,0.0,0.0,0.05,0.16,0.22,0.0,0.0,0.0,0.0,-0.11,-0.09,-0.11,-0.05,0.0,0.0,0.0,0.0,-0.1,-0.16,-0.29,0.0,-0.23,-0.52,0.0,0.0,-0.11,-0.41,-0.04,-0.01,-0.3,-0.29,-0.29,-0.29,-0.84,-0.19,-0.3,-0.87,-0.88,-0.57,-0.6,-0.53
Ljubojevic, Ljubomir;Panno, Oscar;Vina del Mar;1988;0.33,0.07,0.1,0.61,0.77,0.14,0.96,0.22,0.03,0.15,0.15,0.2,0.0,0.14,0.22,0.13,0.12,0.18,0.14,0.16,0.0,0.1,0.02,0.09,0.0,0.0,0.0,0.16,0.17,0.13,-0.0,0.0,0.0,-0.04,-0.01,0.0,-0.0,-0.0,-0.01,-0.02,-0.1,-0.3,-0.03,0.15,-0.12,-0.11,-0.07,0.08,-0.07,-0.07,-0.48,-0.07,-0.27,-0.41,-0.05,-0.13,-0.7,-0.03,-0.28,-0.15,-0.53,-0.47,-1.0,-0.17
Anand,V;Polgar,Ju;Hotel Bali Stars;2003;0.15,0.09,0.18,0.29,0.23,0.17,0.77,0.07,0.06,0.07,-0.01,0.0,0.31,0.1,0.16,0.04,0.1,0.17,0.05,0.11,0.01,0.43,0.11,0.0,0.0,-0.05,0.02,-0.1,0.01,0.01,0.03,0.07,0.02,0.04,-0.02,-0.02,-0.05,-0.08,-0.07,0.0,0.0,-0.11,-0.01,-0.06,-0.01,-0.26,-0.1,-0.01,-0.14,-0.08,-0.05,-0.11,-0.04,-0.04,-0.15,-0.1,-0.21,-0.09,-0.07,-0.41,-0.22,-0.19,-1.0,-0.04
Kasparov, Gary;Spassky, Boris V;Tilburg;1981;0.14,0.02,0.04,0.82,0.76,0.14,1.0,0.18,0.06,0.1,0.01,0.04,0.16,0.39,0.11,0.11,0.21,0.0,0.15,0.05,-0.0,0.11,0.01,0.0,0.03,0.0,0.23,0.09,0.37,-0.08,0.08,0.03,-0.09,0.15,-0.14,0.17,-0.03,-0.03,-0.05,0.21,0.04,0.0,0.0,-0.07,0.02,-0.46,-0.04,-0.04,-0.06,-0.3,-0.35,-0.12,-0.05,-0.17,-0.57,-0.26,-0.45,-0.07,-0.03,-0.59,-0.24,-0.66,-0.93,-0.08
Polgar,Ju;Milos,G;Najdorf Memorial;2001;0.25,0.17,0.15,0.75,0.39,0.04,0.92,0.06,0.12,0.1,0.21,0.11,0.14,0.1,0.33,0.02,0.0,0.07,0.08,0.0,0.15,0.14,0.02,-0.0,0.03,0.05,0.0,0.09,0.11,-0.01,0.02,0.0,-0.17,-0.09,-0.01,0.0,-0.04,0.0,-0.23,-0.19,-0.11,0.0,-0.08,0.09,-0.04,-0.18,-0.05,0.0,-0.01,-0.1,-0.21,0.01,-0.16,-0.12,-0.12,-0.12,-0.27,-0.02,-0.17,-0.46,-0.49,-0.15,-1.0,-0.11
Owens, B.;Fischer, Robert James;USA-op;1956;0.26,0.06,0.12,0.49,0.48,0.18,0.38,0.1,0.23,0.17,-0.07,0.02,0.11,0.09,0.38,0.4,-0.01,0.01,0.18,0.01,0.23,0.22,0.21,0.17,-0.13,0.02,0.09,0.21,0.13,0.12,0.0,0.0,-0.16,-0.04,-0.09,0.0,-0.04,0.03,-0.02,0.0,0.0,-0.01,-0.16,-0.11,-0.01,-0.1,-0.19,-0.17,-0.04,-0.19,-0.07,-0.11,-0.04,-0.23,-0.37,-0.12,-0.33,-0.06,-0.29,-0.36,-0.41,-0.21,-1.0,-0.06
Pereyra Arcija, Diego;Panno, Oscar;San Luis Clarin GP;1995;0.17,0.09,0.29,0.61,0.25,0.31,1.0,0.11,0.05,0.01,0.01,0.04,0.05,0.11,0.1,0.11,0.1,0.04,0.0,0.03,0.04,0.12,0.1,0.0,0.0,0.05,0.08,0.03,0.03,0.01,0.0,0.1,0.02,-0.02,0.17,-0.02,0.03,0.0,0.0,0.0,-0.11,-0.04,-0.16,0.0,-0.11,-0.15,0.0,0.0,-0.1,-0.16,-0.03,-0.11,-0.55,-0.1,-0.11,-0.11,-0.42,-0.1,-0.05,-0.35,-0.49,-0.39,-0.37,-0.22
Polgar, Judit;Ivanchuk, Vassily;Buenos Aires Sicilian;1994;0.24,0.13,0.26,0.28,0.46,0.15,0.67,0.15,-0.03,0.08,0.03,0.27,0.07,0.12,0.37,0.1,-0.03,0.01,0.05,0.19,0.12,0.01,0.03,0.0,-0.0,-0.15,0.1,0.08,0.05,0.0,0.0,0.02,-0.05,0.0,-0.04,0.07,0.0,0.0,0.04,-0.02,-0.14,-0.03,-0.04,-0.09,-0.02,-0.18,-0.1,0.01,-0.04,0.04,-0.0,-0.04,-0.12,-0.12,-0.06,-0.09,-0.28,-0.01,-0.18,-0.5,-0.39,-0.34,-1.0,-0.13
Tal, Mihail;Kasparov, Gary;URS-ch47;1979;0.55,0.07,0.14,0.72,0.63,0.57,0.32,1.0,0.08,0.17,0.17,0.02,0.26,0.06,0.17,0.17,0.0,0.0,0.27,0.0,0.12,0.03,0.32,0.0,0.1,0.0,0.0,0.18,0.17,0.05,0.0,0.0,0.0,0.0,-0.02,0.0,-0.06,0.0,0.03,0.0,-0.1,0.0,-0.07,-0.07,-0.17,-0.25,0.0,0.0,-0.07,-0.17,-0.51,-0.04,-0.17,-0.17,-0.17,-0.17,-0.7,-0.13,-0.27,-0.65,-0.89,-0.2,-0.85,-0.53
Karpov, Anatoly;Kasparov, Gary;World Championship 33th-KK3;1986;0.13,0.01,0.06,0.16,0.43,0.51,0.6,0.1,0.11,0.03,0.0,0.02,0.09,0.07,0.11,0.11,0.0,0.02,0.05,0.1,0.0,0.13,0.0,0.0,-0.02,-0.03,0.3,0.06,-0.07,0.07,0.0,0.0,0.0,0.0,-0.04,0.05,0.01,-0.04,0.04,0.0,-0.04,-0.02,-0.02,-0.01,-0.08,-0.15,-0.06,0.0,-0.11,-0.09,-0.02,-0.01,-0.03,-0.11,-0.1,-0.11,-0.18,-0.04,-0.08,-0.34,-0.38,-0.09,-1.0,-0.06
Kasparov, Gary;Karpov, Anatoly;World Championship 32th-KK2;1985;0.26,0.52,0.28,0.18,0.65,0.24,0.06,0.51,0.24,0.05,0.01,0.14,0.35,0.25,0.25,0.25,0.0,0.0,0.03,0.71,0.08,0.18,0.25,0.0,0.08,0.46,0.25,0.31,0.16,0.0,0.03,0.03,-0.07,0.14,0.17,-0.08,0.0,-0.03,-0.12,-0.05,-0.18,-0.05,0.0,-0.13,-0.33,-0.07,0.0,-0.04,-0.3,-0.37,-0.05,-0.31,-0.77,-0.32,-0.28,-0.25,-0.38,-0.49,-0.42,-0.4,-1.0,-0.05,-0.02,-0.42
Akhsharumova, Anna M;Polgar, Judit;Novi Sad ol (Women);1990;0.22,0.26,0.21,0.46,0.62,0.45,0.47,0.73,0.17,0.33,0.12,0.35,0.3,0.39,0.28,0.24,0.0,-0.19,0.33,-0.19,0.06,0.23,0.16,0.08,0.08,-0.2,0.12,-0.01,0.21,0.05,0.05,0.05,-0.11,-0.02,-0.31,0.19,-0.16,0.02,0.04,-0.08,-0.1,0.0,0.0,-0.09,-0.04,-0.4,-0.3,0.03,-0.07,-0.15,-0.04,-0.31,-0.12,-0.33,-1.0,-0.06,-0.63,-0.2,-0.22,-0.54,-0.43,-0.17,-0.26,-0.44
